title,date
长江三峡技术经济发展有限公司  2018年社会人才招聘公告,2018-04-12 00:00:00
中国水利电力对外有限公司招聘公告,2018-04-20 00:00:00
2018年上半年中国三峡新能源有限公司 所属区域管理机构社会招聘公告,2018-04-04 00:00:00
中国长江三峡集团有限公司博士后科研工作站2018年招聘公告,2018-04-02 00:00:00
中国三峡新能源有限公司 海上风电业务岗位社会招聘公告,2018-03-05 00:00:00
长江三峡集团福建能源投资有限公司招聘公告,2018-02-13 00:00:00
卡洛特电力有限责任公司招聘启事,2018-01-14 00:00:00
中国三峡新能源有限公司区域管理机构 财务总监岗位社会招聘公告,2017-12-08 00:00:00
长江三峡集团福建能源投资有限公司招聘公告,2017-09-27 00:00:00
中国三峡新能源有限公司 风电场投资管理岗位社会招聘公告,2017-08-15 00:00:00
三峡财务（香港）有限公司招聘公告,2017-07-05 00:00:00
中国长江三峡集团新能源科技创新中心 招聘公告,2017-07-06 00:00:00
中国三峡新能源有限公司 海上风电业务岗位社会招聘公告,2017-06-30 00:00:00
三峡国际能源投资集团有限公司招聘公告,2017-06-19 00:00:00
中国长江三峡集团公司 工程造价中心招聘公告,2017-05-26 00:00:00
上海勘测设计研究院有限公司总会计师 面试公告,2017-05-10 00:00:00
长江三峡集团福建能源投资有限公司 招聘公告,2017-05-05 00:00:00
上海勘测设计研究院有限公司总会计师 招聘公告,2017-04-07 00:00:00
中国三峡新能源有限公司西北分公司社会招聘公告,2017-03-31 00:00:00
长江三峡技术经济发展有限公司招聘公告,2017-03-03 00:00:00
北京融能产权经纪有限公司招聘公告,2017-03-31 00:00:00
福建三峡海上风电产业园运营有限公司招聘公告,2017-03-01 00:00:00
三峡巴基斯坦第一风电有限公司招聘公告 ,2016-12-28 00:00:00
三峡国际能源投资集团有限公司招聘公告,2016-12-16 00:00:00
中国三峡出版传媒有限公司 招 聘 公 告,2016-11-14 00:00:00
三峡基地发展有限公司2019年社会招聘,未知
三峡基地发展有限公司社会招聘公告,未知
三峡国际招标有限责任公司社会招聘公告,2021-06-08 05:00:00
公告155,未知
长江三峡技术经济发展有限公司社会成熟人才招聘,2021-04-09 23:00:00
中国水利电力对外有限公司纪检工作部社会招聘公告,2021-05-08 09:00:00
中国水利电力对外有限公司党群工作部社会招聘公告,2021-05-07 09:00:00
三峡集团西藏能源投资有限公司社会招聘公告,2021-05-28 00:00:00
乌东德电站及昆明区域辅助管理员岗位招聘公告,未知
三峡凉山能源投资有限公司社会招聘公告,未知
