title,date
大唐四川发电有限公司2016年社会在职招聘公告,2016-11-09已结束
中国大唐集团资本控股有限公司招聘启事,2016-11-09已结束
大唐环境产业集团股份有限公司所属大唐（北京）水务工程技术有限公司招聘公告,2016-10-20已结束
中国水利电力物资集团有限公司所属二级单位相关岗位招聘公告,2016-10-20已结束
大唐环境产业集团股份有限公司所属中国大唐集团科技工程有限公司招聘启事,2016-10-10已结束
大唐平罗发电公司部分生产专业岗位招聘启事,2016-09-26已结束
大唐融资租赁有限公司2016年度社会招聘招聘启事,2016-09-26已结束
山西大唐国际云冈热电有限责任公司招聘启事,2016-09-20已结束
大唐云南发电有限公司所属企业2016年招聘启事,2016-09-20已结束
辽宁大唐国际新能源有限公司招聘启事,2016-09-20已结束
大唐大丰风电开发有限公司招聘启事,2016-09-09已结束
大唐环境产业集团股份有限公司环保分公司招聘公告,2016-09-02已结束
大唐南京环保科技有限责任公司2016年招聘启事,2016-09-02已结束
云南大唐国际新能源有限公司及所属企业招聘启事,2016-08-30已结束
北京大唐泰信保险经纪有限公司招聘启事,2016-08-26已结束
上海大唐融资租赁有限公司招聘启事,2016-08-26已结束
中国大唐集团科技工程有限公司招聘启事,2016-08-26已结束
广东大唐国际雷州发电有限责任公司招聘启事,2016-08-23已结束
江西大唐国际新余发电有限责任公司（二期项目）招聘启事,2016-08-15已结束
江苏大唐国际吕四港发电有限责任公司招聘启事,2016-08-15已结束
广东大唐国际肇庆热电有限责任公司招聘启事,2016-08-15已结束
北京唐韵山庄酒店有限责任公司市场化用工招聘公告,2016-08-08已结束
深圳大唐宝昌燃气发电有限公司招聘启事,2016-08-05已结束
江苏大唐国际如皋热电有限责任公司招聘启事,2016-08-04已结束
大唐新能源锡盟公司生产技术骨干社会招聘启事,2016-08-03已结束
大唐新能源华东公司生产技术骨干社会招聘启事,2016-08-03已结束
浙江大唐乌沙山发电公司2016年集团公司系统内、外在职招聘通知,2016-08-03已结束
大唐新能源福建公司2016年度技术骨干招聘公告,2016-07-27已结束
大唐新能源蒙西公司2016年生产技术骨干招聘启事,2016-07-27已结束
中国大唐集团财务有限公司招聘启事,2016-07-19已结束
大唐新能源山东公司招聘启事,2016-07-18已结束
大唐环境产业集团股份有限公司所属大唐（北京）能源管理有限公司招聘公告,2016-07-12已结束
